,power_demand_kW
2005-06-07 17:00:00,-0.654899167
2005-06-07 18:00:00,-0.9472175
2005-06-07 19:00:00,-0.758235833
2005-06-07 20:00:00,-0.836669167
2005-06-07 21:00:00,-0.814246667
2005-06-07 22:00:00,-0.517448333
2005-06-07 23:00:00,-1.342364167
2005-06-08 00:00:00,-1.065296667
2005-06-08 01:00:00,-0.2560425
2005-06-08 02:00:00,-0.475865833
2005-06-08 03:00:00,-0.34288
2005-06-08 04:00:00,-0.343750833
2005-06-08 05:00:00,-0.316131667
2005-06-08 06:00:00,-0.883710833
2005-06-08 07:00:00,-1.282195
2005-06-08 08:00:00,-0.9112975
2005-06-08 09:00:00,-0.515075833
2005-06-08 10:00:00,-0.568811667
2005-06-08 11:00:00,-0.48943
2005-06-08 12:00:00,-0.501330833
2005-06-08 13:00:00,-0.555265
2005-06-08 14:00:00,-0.603101667
2005-06-08 15:00:00,-0.350141667
2005-06-08 16:00:00,-0.634979167
2005-06-08 17:00:00,-1.343078333
2005-06-08 18:00:00,-0.86923
2005-06-08 19:00:00,-0.9458225
2005-06-08 20:00:00,-0.636275
2005-06-08 21:00:00,-0.52026
2005-06-08 22:00:00,-1.517479167
2005-06-08 23:00:00,-1.4538125
2005-06-09 00:00:00,-0.957208333
2005-06-09 01:00:00,-0.732958333
2005-06-09 02:00:00,-0.560104167
2005-06-09 03:00:00,-0.610895833
2005-06-09 04:00:00,-0.442770833
2005-06-09 05:00:00,-0.610791667
2005-06-09 06:00:00,-0.563583333
2005-06-09 07:00:00,-0.496604167
2005-06-09 08:00:00,-0.620489167
2005-06-09 09:00:00,-0.609173333
2005-06-09 10:00:00,-0.400891667
2005-06-09 11:00:00,-0.670219167
2005-06-09 12:00:00,-0.483538333
2005-06-09 13:00:00,-0.6904675
2005-06-09 14:00:00,-0.3884325
2005-06-09 15:00:00,-0.7294725
2005-06-09 16:00:00,-0.775064167
2005-06-09 17:00:00,-1.092416667
2005-06-09 18:00:00,-0.808979167
2005-06-09 19:00:00,-0.800375
2005-06-09 20:00:00,-0.628526667
2005-06-09 21:00:00,-0.6205
2005-06-09 22:00:00,-0.6176875
2005-06-09 23:00:00,-1.3384375
2005-06-10 00:00:00,-1.782083333
2005-06-10 01:00:00,-1.430291667
2005-06-10 02:00:00,-0.6355625
2005-06-10 03:00:00,-0.453458333
2005-06-10 04:00:00,-0.465583333
2005-06-10 05:00:00,-0.408645833
2005-06-10 06:00:00,-0.491416667
2005-06-10 07:00:00,-0.362291667
2005-06-10 08:00:00,-0.452239167
2005-06-10 09:00:00,-0.57173
2005-06-10 10:00:00,-0.485536667
2005-06-10 11:00:00,-0.4499275
2005-06-10 12:00:00,-0.645005833
2005-06-10 13:00:00,-0.495986667
2005-06-10 14:00:00,-0.409174167
2005-06-10 15:00:00,-0.544651667
2005-06-10 16:00:00,-1.327434167
2005-06-10 17:00:00,-1.408451667
2005-06-10 18:00:00,-1.0574725
2005-06-10 19:00:00,-0.7847325
2005-06-10 20:00:00,-0.689856667
2005-06-10 21:00:00,-0.582114167
2005-06-10 22:00:00,-1.278125
2005-06-10 23:00:00,-1.552314167
2005-06-11 00:00:00,-0.648916667
2005-06-11 01:00:00,-0.4568125
2005-06-11 02:00:00,-0.322875
2005-06-11 03:00:00,-0.401729167
2005-06-11 04:00:00,-0.466020833
2005-06-11 05:00:00,-0.614833333
2005-06-11 06:00:00,-1.142104167
2005-06-11 07:00:00,-0.727
2005-06-11 08:00:00,-0.473800833
2005-06-11 09:00:00,-0.612455
2005-06-11 10:00:00,-0.953921667
2005-06-11 11:00:00,-1.07768
2005-06-11 12:00:00,-0.822831667
2005-06-11 13:00:00,-0.373555833
2005-06-11 14:00:00,-0.3603
2005-06-11 15:00:00,-0.4832625
2005-06-11 16:00:00,-0.353489167
2005-06-11 17:00:00,-0.551671667
2005-06-11 18:00:00,-0.52914
2005-06-11 19:00:00,-0.672335833
2005-06-11 20:00:00,-0.8757525
2005-06-11 21:00:00,-0.564775833
2005-06-11 22:00:00,-1.247478333
2005-06-11 23:00:00,-2.581770833
2005-06-12 00:00:00,-1.858479167
2005-06-12 01:00:00,-1.38975
2005-06-12 02:00:00,-0.285854167
2005-06-12 03:00:00,-0.327666667
2005-06-12 04:00:00,-0.293166667
2005-06-12 05:00:00,-0.358458333
2005-06-12 06:00:00,-0.724458333
2005-06-12 07:00:00,-0.920083333
2005-06-12 08:00:00,-0.5362625
2005-06-12 09:00:00,-0.391093333
2005-06-12 10:00:00,-0.31601
2005-06-12 11:00:00,-0.721325833
2005-06-12 12:00:00,-0.673405833
2005-06-12 13:00:00,-0.908321667
2005-06-12 14:00:00,-0.702679167
2005-06-12 15:00:00,-0.510526667
2005-06-12 16:00:00,-0.470764167
2005-06-12 17:00:00,-0.589003333
2005-06-12 18:00:00,-0.54752
2005-06-12 19:00:00,-0.661128333
2005-06-12 20:00:00,-0.7365525
2005-06-12 21:00:00,-0.7528975
2005-06-12 22:00:00,-1.171251667
2005-06-12 23:00:00,-1.463921667
2005-06-13 00:00:00,-0.588769167
2005-06-13 01:00:00,-0.3410375
2005-06-13 02:00:00,-0.435783333
2005-06-13 03:00:00,-0.373905833
2005-06-13 04:00:00,-0.893793333
2005-06-13 05:00:00,-0.496028333
